,decimalLatitude,decimalLongitude,eventDate,Year,Month,Day,Depth,ParentEventID,measurementValue,measurementUnit,h0,h1,h2,h3,wind_mag,measurementValue_vol_1m,measurementValue_vol_5m,measurementUnit_vol
103,20.8,-50.14,2011-06-29 12:00:00,2011,6,29,0.15,5,4.695466446189892e-05,g m-2,577516283466088447,582002290907414527,586503691511529471,591007084980469759,9.089583396911621,0.00022193592663760544,7.474594296977348e-05,gm-3
104,20.78,-148.27,2011-05-17 12:00:00,2011,5,17,0.15,5,0.00021831169619024521,g m-2,578114417791598591,582604823279435775,587112271197503487,591615802105397247,2.909799098968506,0.00021851757589474636,4.370351517894927e-05,gm-3
105,20.47,-65.25,2011-03-25 12:00:00,2011,3,25,0.15,5,0.0,g m-2,577832942814887935,582318950256214015,586829146953351167,591324362804559871,5.470348358154297,0.0,0.0,gm-3
106,20.34,-145.2,2011-05-18 12:00:00,2011,5,18,0.15,5,3.791541944892169e-05,g m-2,578114417791598591,582609221325946879,587112271197503487,591614427715862527,5.1420111656188965,5.9469623963111725e-05,1.190783569167063e-05,gm-3
107,20.26,-24.25,2010-12-24 12:00:00,2010,12,24,0.15,5,1.0956175298804752e-06,g m-2,577973680303243263,582503668209680383,586973732732403711,591509561794363391,3.5819153785705566,1.130327733809282e-06,2.2606554678044528e-07,gm-3
108,19.99,-52.64,2011-06-28 12:00:00,2011,6,28,0.15,5,0.0,g m-2,578149602163687423,582635609605013503,587136460453314559,591639785202778111,6.0628342628479,0.0,0.0,gm-3
109,19.89,-141.59,2011-05-19 12:00:00,2011,5,19,0.15,5,3.116856628674267e-05,g m-2,578114417791598591,582609221325946879,587111721441689599,591614840032722943,3.8880367279052734,3.3560977893798324e-05,6.712195730188095e-06,gm-3
110,19.28,-138.97,2011-05-20 12:00:00,2011,5,20,0.15,5,4.997728305315767e-06,g m-2,577903311559065599,582398115093413887,586882473267298303,591401740935364607,7.416955947875977,1.7379845760607542e-05,4.123878015650617e-06,gm-3
111,19.26,-66.91,2011-03-24 12:00:00,2011,3,24,0.15,5,2.3086006691596136e-06,g m-2,577832942814887935,582318950256214015,586820900616142847,591324225365606399,4.092055320739746,2.5898219155685185e-06,5.17964576383405e-07,gm-3
112,19.0,-55.15,2011-06-27 12:00:00,2011,6,27,0.15,5,6.14334470989761e-07,g m-2,578149602163687423,582635609605013503,587135360941686783,591638479532720127,7.404346942901611,2.129544625582388e-06,5.042372385849264e-07,gm-3
